x_acc,y_acc,z_acc,label
-0.002,-1.01,-0.021,silence
-0.005,-1.009,-0.023,silence
0.001,-1.012,-0.024,silence
0.001,-1.008,-0.022,silence
0.0,-1.011,-0.021,silence
-0.002,-1.011,-0.021,silence
-0.001,-1.008,-0.025,silence
0.002,-1.013,-0.024,silence
0.002,-1.01,-0.025,silence
0.001,-1.01,-0.026,silence
0.002,-1.008,-0.024,silence
-0.001,-1.008,-0.024,silence
0.0,-1.008,-0.023,silence
-0.002,-1.009,-0.021,silence
0.001,-1.011,-0.022,silence
-0.003,-1.012,-0.024,silence
0.002,-1.011,-0.024,silence
0.0,-1.012,-0.026,silence
0.002,-1.01,-0.024,silence
-0.003,-1.007,-0.026,silence
-0.001,-1.011,-0.022,silence
-0.001,-1.009,-0.021,silence
-0.003,-1.011,-0.022,silence
0.001,-1.011,-0.025,silence
0.001,-1.012,-0.025,silence
0.003,-1.01,-0.024,silence
-0.003,-1.011,-0.028,silence
-0.003,-1.014,-0.021,silence
-0.001,-1.01,-0.023,silence
-0.0,-1.013,-0.026,silence
0.002,-1.01,-0.025,silence
0.001,-1.011,-0.026,silence
0.001,-1.012,-0.025,silence
-0.001,-1.008,-0.025,silence
-0.002,-1.009,-0.02,silence
0.001,-1.011,-0.022,silence
-0.002,-1.011,-0.024,silence
0.004,-1.011,-0.026,silence
0.001,-1.008,-0.028,silence
0.004,-1.01,-0.026,silence
0.001,-1.011,-0.027,silence
-0.002,-1.01,-0.018,silence
-0.003,-1.011,-0.02,silence
-0.002,-1.014,-0.02,silence
0.001,-1.011,-0.023,silence
-0.001,-1.014,-0.023,silence
0.0,-1.011,-0.025,silence
0.002,-1.009,-0.026,silence
-0.001,-1.009,-0.024,silence
0.0,-1.012,-0.024,silence
-0.005,-1.009,-0.021,silence
-0.001,-1.011,-0.021,silence
-0.001,-1.011,-0.024,silence
-0.002,-1.01,-0.027,silence
-0.0,-1.009,-0.017,silence
-0.001,-1.009,-0.022,silence
-0.002,-1.009,-0.022,silence
-0.001,-1.01,-0.024,silence
0.002,-1.014,-0.022,silence
0.001,-1.012,-0.024,silence
0.001,-1.01,-0.025,silence
0.001,-1.009,-0.027,silence
0.0,-1.011,-0.022,silence
-0.001,-1.01,-0.024,silence
-0.003,-1.011,-0.024,silence
-0.001,-1.012,-0.026,silence
-0.0,-1.011,-0.026,silence
0.0,-1.009,-0.024,silence
0.002,-1.01,-0.027,silence
-0.002,-1.008,-0.024,silence
-0.002,-1.008,-0.026,silence
-0.002,-1.011,-0.021,silence
-0.002,-1.01,-0.023,silence
0.0,-1.012,-0.025,silence
0.001,-1.009,-0.024,silence
0.001,-1.009,-0.029,silence
-0.0,-1.013,-0.025,silence
-0.001,-1.011,-0.029,silence
-0.005,-1.009,-0.021,silence
-0.001,-1.009,-0.024,silence
0.0,-1.01,-0.027,silence
0.0,-1.01,-0.024,silence
0.0,-1.008,-0.028,silence
-0.002,-1.009,-0.022,silence
-0.005,-1.01,-0.024,silence
-0.002,-1.009,-0.022,silence
0.0,-1.011,-0.022,silence
0.001,-1.013,-0.021,silence
0.003,-1.012,-0.023,silence
-0.001,-1.01,-0.025,silence
-0.0,-1.009,-0.023,silence
-0.002,-1.009,-0.025,silence
-0.004,-1.008,-0.021,silence
-0.001,-1.009,-0.023,silence
-0.005,-1.012,-0.023,silence
-0.002,-1.011,-0.028,silence
-0.002,-1.008,-0.031,silence
0.001,-1.006,-0.038,silence
-0.006,-1.007,-0.03,silence
-0.004,-1.008,-0.024,silence
-0.0,-1.012,-0.024,silence
