x_acc,y_acc,z_acc,label
-0.004,-1.007,-0.021,silence
-0.013,-1.006,-0.013,silence
-0.012,-1.008,-0.007,silence
-0.012,-1.01,0.0,silence
-0.011,-1.012,0.001,silence
-0.01,-1.013,0.001,silence
-0.009,-1.013,-0.004,silence
-0.003,-1.016,-0.004,silence
-0.004,-1.016,-0.005,silence
-0.002,-1.019,-0.006,silence
-0.003,-1.016,-0.01,silence
0.002,-1.017,-0.016,silence
0.006,-1.018,-0.026,silence
0.007,-1.02,-0.032,silence
0.01,-1.016,-0.035,silence
0.008,-1.016,-0.038,silence
0.008,-1.012,-0.049,silence
0.002,-1.01,-0.043,silence
0.005,-1.01,-0.044,silence
0.0,-1.009,-0.048,silence
0.001,-1.009,-0.045,silence
0.002,-1.007,-0.042,silence
-0.002,-1.006,-0.035,silence
-0.008,-1.005,-0.032,silence
-0.013,-1.003,-0.026,silence
-0.016,-1.005,-0.017,silence
-0.013,-1.008,-0.012,silence
-0.011,-1.009,-0.005,silence
-0.006,-1.013,-0.005,silence
-0.008,-1.009,-0.005,silence
-0.004,-1.016,0.002,silence
-0.006,-1.011,-0.001,silence
-0.006,-1.015,0.003,silence
-0.006,-1.016,-0.001,silence
-0.002,-1.018,-0.005,silence
0.004,-1.02,-0.013,silence
0.005,-1.017,-0.022,silence
0.007,-1.017,-0.031,silence
0.007,-1.016,-0.036,silence
0.005,-1.015,-0.041,silence
0.002,-1.013,-0.04,silence
0.003,-1.01,-0.042,silence
0.001,-1.011,-0.046,silence
0.0,-1.009,-0.044,silence
0.002,-1.007,-0.048,silence
-0.004,-1.006,-0.043,silence
-0.002,-1.004,-0.04,silence
-0.01,-1.004,-0.032,silence
-0.009,-1.006,-0.024,silence
-0.015,-1.007,-0.016,silence
-0.012,-1.006,-0.012,silence
-0.01,-1.007,-0.01,silence
-0.006,-1.009,-0.006,silence
-0.006,-1.011,-0.004,silence
-0.007,-1.009,0.001,silence
-0.008,-1.012,0.005,silence
-0.007,-1.012,0.003,silence
-0.004,-1.018,-0.001,silence
0.002,-1.016,-0.004,silence
0.006,-1.018,-0.018,silence
0.006,-1.017,-0.023,silence
0.004,-1.017,-0.029,silence
0.007,-1.017,-0.026,silence
0.003,-1.015,-0.036,silence
0.008,-1.017,-0.04,silence
0.007,-1.014,-0.045,silence
0.006,-1.01,-0.048,silence
0.008,-1.01,-0.049,silence
-0.002,-1.006,-0.046,silence
0.002,-1.005,-0.039,silence
-0.008,-1.004,-0.035,silence
-0.008,-1.007,-0.033,silence
-0.01,-1.005,-0.03,silence
-0.01,-1.005,-0.027,silence
-0.009,-1.007,-0.022,silence
-0.008,-1.005,-0.01,silence
-0.014,-1.006,-0.005,silence
-0.013,-1.009,-0.001,silence
-0.011,-1.01,0.001,silence
-0.011,-1.012,0.003,silence
-0.006,-1.013,0.001,silence
-0.001,-1.014,-0.002,silence
0.002,-1.016,-0.007,silence
0.006,-1.016,-0.013,silence
0.002,-1.016,-0.016,silence
0.004,-1.017,-0.024,silence
0.008,-1.018,-0.031,silence
0.007,-1.015,-0.002,silence
0.01,-1.016,-0.042,silence
0.008,-1.012,-0.043,silence
0.009,-1.013,-0.045,silence
-0.0,-1.009,-0.043,silence
0.0,-1.008,-0.044,silence
-0.002,-1.006,-0.043,silence
-0.002,-1.009,-0.04,silence
0.0,-1.005,-0.039,silence
-0.006,-1.005,-0.03,silence
-0.009,-1.004,-0.024,silence
-0.011,-1.005,-0.015,silence
-0.012,-1.005,-0.009,silence
-0.015,-1.005,-0.004,silence
-0.011,-1.009,-0.003,silence
-0.011,-1.013,-0.0,silence
-0.004,-1.014,0.002,silence
-0.002,-1.013,-0.004,silence
-0.002,-1.014,-0.004,silence
-0.001,-1.016,-0.007,silence
-0.001,-1.016,-0.01,silence
0.003,-1.017,-0.011,silence
0.003,-1.019,-0.021,silence
0.006,-1.017,-0.029,silence
0.009,-1.015,-0.037,silence
0.002,-1.012,-0.037,silence
0.007,-1.015,-0.039,silence
0.002,-1.011,-0.041,silence
0.005,-1.01,-0.044,silence
0.002,-1.01,-0.047,silence
0.003,-1.002,-0.045,silence
-0.0,-1.005,-0.042,silence
-0.005,-1.003,-0.035,silence
-0.011,-1.005,-0.028,silence
-0.013,-1.007,-0.023,silence
-0.012,-1.004,-0.018,silence
-0.014,-1.008,-0.016,silence
-0.012,-1.008,-0.012,silence
-0.007,-1.009,-0.008,silence
-0.01,-1.01,-0.002,silence
-0.008,-1.01,-0.001,silence
-0.012,-1.011,0.004,silence
-0.004,-1.014,-0.001,silence
-0.006,-1.015,-0.001,silence
0.005,-1.019,-0.006,silence
0.006,-1.016,-0.019,silence
0.008,-1.017,-0.023,silence
0.008,-1.019,-0.03,silence
0.005,-1.015,-0.031,silence
0.008,-1.015,-0.033,silence
0.007,-1.015,-0.037,silence
0.01,-1.013,-0.042,silence
0.006,-1.01,-0.048,silence
0.002,-1.007,-0.048,silence
-0.002,-1.009,-0.046,silence
-0.007,-1.005,-0.038,silence
-0.009,-1.006,-0.032,silence
-0.009,-1.004,-0.033,silence
-0.01,-1.004,-0.027,silence
-0.003,-1.006,-0.025,silence
-0.008,-1.008,-0.022,silence
-0.01,-1.004,-0.015,silence
-0.014,-1.008,-0.005,silence
-0.014,-1.008,-0.01,silence
-0.016,-1.01,-0.024,silence
-0.009,-1.011,-0.027,silence
-0.007,-1.013,-0.02,steel
-0.0,-1.012,-0.021,steel
0.0,-1.012,-0.025,steel
0.005,-1.017,-0.021,steel
0.007,-1.016,-0.034,steel
0.005,-1.016,-0.004,steel
0.009,-1.019,0.004,steel
0.01,-1.001,-0.018,steel
0.011,-1.062,-0.004,steel
0.031,-1.03,-0.006,steel
-0.01,-0.967,-0.004,steel
0.014,-1.004,-0.093,steel
-0.01,-1.046,-0.081,steel
-0.042,-0.947,-0.009,steel
-0.006,-0.967,-0.014,steel
0.035,-1.083,-0.016,steel
0.02,-1.041,0.026,steel
0.033,-0.984,-0.025,steel
-0.016,-1.036,-0.069,steel
-0.044,-1.023,-0.048,steel
-0.018,-0.911,-0.004,steel
-0.013,-1.003,0.002,steel
0.034,-1.104,-0.001,steel
0.034,-1.009,0.007,steel
-0.023,-1.001,-0.037,steel
-0.024,-1.009,-0.098,steel
-0.07,-0.933,-0.027,steel
-0.018,-0.961,-0.009,steel
0.034,-1.046,-0.003,steel
0.033,-1.082,0.03,steel
0.038,-1.032,-0.009,steel
-0.009,-1.019,-0.068,steel
-0.044,-0.991,-0.078,steel
-0.04,-0.925,-0.018,steel
0.003,-0.995,0.008,steel
0.053,-1.079,0.016,steel
0.063,-1.066,0.033,steel
0.037,-1.025,-0.024,steel
-0.03,-1.0,-0.061,steel
-0.036,-1.004,-0.092,steel
-0.058,-0.926,-0.046,steel
-0.011,-0.951,-0.001,steel
0.026,-1.057,0.007,steel
0.05,-1.098,0.002,steel
0.025,-1.015,-0.024,steel
-0.05,-0.98,-0.068,steel
-0.051,-0.985,-0.091,steel
-0.05,-0.918,-0.034,steel
-0.009,-0.962,0.013,steel
0.039,-1.076,0.018,steel
0.045,-1.096,0.023,steel
0.022,-1.023,-0.024,steel
-0.041,-0.986,-0.072,steel
-0.045,-0.988,-0.068,steel
-0.029,-0.932,-0.02,steel
0.01,-0.987,0.019,steel
0.052,-1.092,0.018,steel
0.046,-1.09,0.02,steel
0.014,-1.034,-0.033,steel
-0.034,-0.986,-0.075,steel
-0.055,-0.959,-0.056,steel
-0.014,-0.941,-0.028,steel
0.019,-1.006,0.013,steel
0.068,-1.09,0.013,steel
0.04,-1.079,0.004,steel
0.006,-1.029,-0.031,steel
-0.025,-1.023,-0.093,steel
-0.069,-0.95,-0.065,steel
-0.043,-0.892,-0.009,steel
-0.005,-1.018,0.002,steel
0.064,-1.113,-0.009,steel
0.03,-1.031,0.017,steel
-0.015,-1.009,-0.03,steel
-0.026,-1.019,-0.088,steel
-0.069,-0.941,-0.042,steel
-0.023,-0.915,0.004,steel
0.014,-1.038,0.005,steel
0.06,-1.115,0.01,steel
0.041,-1.029,0.018,steel
-0.024,-1.006,-0.038,steel
-0.021,-1.021,-0.089,steel
-0.057,-0.93,-0.033,steel
-0.002,-0.936,-0.005,steel
0.035,-1.06,-0.001,steel
0.063,-1.121,0.014,steel
0.04,-1.026,-0.005,steel
-0.038,-0.995,-0.052,steel
-0.035,-1.006,-0.091,steel
-0.052,-0.926,-0.042,steel
-0.006,-0.946,-0.007,steel
0.023,-1.068,-0.003,steel
0.042,-1.081,0.007,steel
0.033,-1.056,0.001,steel
-0.021,-1.033,-0.057,steel
-0.05,-0.967,-0.082,steel
-0.064,-0.906,-0.022,steel
-0.009,-0.972,-0.016,steel
0.041,-1.055,-0.006,steel
0.036,-1.066,0.035,steel
0.024,-1.043,-0.002,steel
-0.029,-1.034,-0.061,steel
-0.051,-0.974,-0.069,steel
-0.048,-0.903,-0.013,steel
0.005,-0.995,-0.007,steel
0.065,-1.088,-0.003,steel
0.043,-1.061,0.036,steel
0.017,-1.039,-0.017,steel
-0.02,-1.03,-0.078,steel
-0.058,-0.967,-0.062,steel
-0.032,-0.908,-0.016,steel
0.012,-1.018,-0.007,steel
0.07,-1.103,-0.013,steel
0.052,-1.037,0.017,steel
0.027,-1.021,-0.03,steel
-0.042,-0.989,-0.092,steel
-0.043,-0.989,-0.079,steel
-0.036,-0.926,-0.038,steel
-0.002,-0.965,0.003,steel
0.04,-1.075,0.002,steel
0.036,-1.093,0.015,steel
0.008,-1.019,-0.025,steel
-0.055,-0.979,-0.065,steel
-0.057,-0.966,-0.061,steel
-0.028,-0.935,-0.03,steel
0.011,-0.992,0.018,steel
0.047,-1.087,0.015,steel
0.042,-1.073,0.015,steel
-0.005,-1.028,-0.035,steel
-0.044,-0.974,-0.083,steel
-0.061,-0.944,-0.04,steel
-0.003,-0.962,-0.015,steel
0.035,-1.027,0.009,steel
0.055,-1.093,0.022,steel
0.04,-1.06,-0.0,steel
-0.017,-1.028,-0.064,steel
-0.046,-0.969,-0.095,steel
-0.064,-0.918,-0.03,steel
-0.022,-0.915,-0.012,steel
0.021,-1.044,0.012,steel
0.068,-1.111,-0.003,steel
0.03,-1.021,0.017,steel
-0.031,-1.005,-0.046,steel
-0.035,-1.011,-0.093,steel
-0.069,-0.931,-0.032,steel
-0.024,-0.92,0.001,steel
0.017,-1.05,-0.001,steel
0.05,-1.11,0.001,steel
-0.035,-1.048,-0.065,steel
-0.046,-0.913,-0.045,steel
-0.05,-0.901,-0.012,steel
-0.005,-1.087,-0.043,steel
0.046,-1.014,-0.02,steel
0.023,-0.999,0.0,steel
-0.022,-1.08,-0.027,steel
-0.016,-0.966,-0.046,steel
-0.03,-0.943,-0.028,steel
-0.011,-1.044,-0.026,steel
0.031,-1.012,-0.004,steel
0.02,-1.019,0.005,steel
0.019,-1.072,-0.043,steel
-0.009,-0.995,-0.056,steel
-0.042,-0.954,-0.035,steel
-0.005,-1.004,-0.059,steel
0.011,-1.014,-0.013,steel
