lat,lon,year,month,day,hour,minute,second,atrack,xtrack,surf_alt,solar_zenith_angle,solar_azimuth_angle,surf_air_temp_masked,surf_temp_masked,surf_spec_hum_masked,h2o_vap_tot_masked,cloud_liquid_water_masked,atmosphere_mass_content_of_cloud_ice_masked
27.7,19.5,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.6874569607258827,-0.11115065694384485,-1.0460939585248874,-1.2863642079763826,-0.7588890001998192,-0.6498989752937465,0.05180622050955436,-0.8886348016229095
28.9,23.9,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.4796310623514699,-0.3355102650487018,-1.2563685937940772,-0.4405562767012476,-0.8919033908764717,-0.3476564247691175,-0.284060199831061,0.844998090452794
29.7,22.6,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.3091887893005507,-0.19634367690140092,-0.7256108009258349,-0.7903440833161597,-0.43393909327052127,-0.93066552417986,-0.42930990486967385,0.4659354301855867
30.4,22.8,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-1.003386933062588,0.8232567741887895,-0.665245069934332,-0.493715673508088,0.3229897116915274,-1.3396349796138354,0.09111986904655331,-0.04986072314091791
30.7,22.0,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.47844777422788054,0.22087031448917469,-1.2591424785788008,-0.6390435949734005,0.5796823510522727,-0.44440964483194273,-0.5269299997117933,-0.17978566712589808
31.7,13.1,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.13885809491691153,0.577918205693974,-0.7963086126214699,-0.5682789729344031,0.2033762188776776,-0.5546162700887088,0.29798846999628015,-0.01190227377652714
31.8,7.1,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.5242159673926663,-0.2363561220163981,-1.4898599458717352,-1.4270135334900749,-0.06613952894777864,-0.6729496488715253,0.44427647666888576,-0.6529209826989814
31.8,10.3,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.2157077989638294,-0.6610940583178937,-0.7843959360767974,-1.0288523106018805,-0.37406434545521133,-1.036503086792329,0.7546469579659345,0.1111541155952949
32.0,17.8,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.5372408835072868,-0.5519731300888336,-1.2538524926544912,-0.20575069039062477,0.4242176775319111,-1.3976494511546844,-0.0021994648913727932,-0.6294590901731941
32.5,-0.2,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.16063169947947242,-0.3563003613100014,-0.27263186568993447,-1.709758258244808,-0.05111905635507358,-0.031428730737045885,-0.7831827419783086,-0.49486194675178896
32.5,18.0,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.9370637074223853,-0.28272857779808347,-1.1257408253342287,-1.033600427062659,-0.33464155904133097,-1.5635188416016668,1.041274006994814,-0.395366749694153
32.6,19.9,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.28731802451469995,0.36722582999572073,-0.9653136993955054,-0.05383850073114843,0.2487879765536381,-0.19813727875019632,-0.08771367814287331,-0.07292467600849908
32.7,30.0,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.23314894453752216,0.111354163000782,-0.4458554491358244,-0.06504368959038498,-0.04796956516728923,-1.4307261841951386,0.857139909886522,1.2145177357386743
32.9,6.9,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.3589307146821236,0.3340451328644016,-0.6501866344742132,-0.37510923167520394,-0.8861168189126929,-1.1167608938638884,1.289274231652331,-0.44082143565997445
32.9,8.9,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.377301649126883,0.0570132702518583,-0.03743390547186104,0.23783885440323227,-0.8888242178143954,-0.13993336341806728,0.14543783957972,0.2088825619410664
32.9,11.7,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.7637930889258575,0.1570245574718496,0.38135998915665525,0.3741114259703254,0.07217571473862877,-0.19947669258152,-0.015230740353681077,0.5093033760752912
32.9,16.4,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.6516771171468905,-0.03235177043424847,-1.3495043949851717,-1.5379424183821357,-0.471987449522581,-0.6174345147525745,-0.02084630644527799,-0.27213775236827953
33.0,5.3,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.46112427533353145,-0.47909494257377194,-1.0285069415367596,-1.3823387025773355,0.044517914354395005,-1.5812256570628982,-0.45750005407627403,-0.07159704887826707
33.0,6.9,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.3376004414302725,0.40024427986486516,-0.7235033254371745,-1.6330220528672643,0.45393593191591686,-1.3866621293759507,-0.6811537368106613,-0.01617419573769937
33.0,19.6,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.4939496300355497,0.05420373697429461,-0.5901354315378717,-0.5461842652534863,-0.6519800737723905,-0.8903519867126357,0.47636850484703336,-0.11867408146036154
33.0,20.0,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.4597246775924455,-0.485742504024897,-0.16024684994335348,-0.7761934099697426,0.2800404316799351,-0.41131703200994174,-0.25055564575567285,0.5693265179124343
33.1,18.0,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.031081167868301868,-0.6519069515653901,0.0212851719719247,-0.7188162461741214,-1.4872781416800276,-0.5431013268615952,-0.1279059799409806,1.6891301613229666
33.2,15.3,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.10437639375380997,1.174012750141765,-0.4874259306027595,0.11270441399014286,0.4185263201586153,-0.5779861525500573,0.469646210219669,-0.22178267864356888
33.2,21.3,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.19339304579674033,-0.5445703852504218,-0.54401922690775,-1.1368922318641053,-1.0593305154329742,-1.2544179214663145,-0.23556221909087324,0.06665832548520553
33.3,16.0,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,0.9090534912373098,-0.8170194113704552,0.039584539420815634,-0.6698892856385398,-0.3996935834102204,-0.818972583737479,0.7026706463754242,1.2955578611643568
33.3,17.8,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.4610203746955915,-0.9971381767010076,-0.6356196594603382,0.3218549540215091,-0.12653191316846366,-0.23671527627987582,-1.0523428232945067,0.8086994526588551
33.3,19.2,2015.0,2.0,1.0,12.0,0.0,0.0,-1.0,-1.0,,-0.36965937736846494,0.07693170169986978,-0.30445674102191156,-0.9511317194367276,-0.8638595695519036,-0.756281373719028,-0.10314543933326059,0.9872092175122954
