lat,lon
27.7,19.5
28.9,23.9
29.7,22.6
30.4,22.8
30.7,22.0
31.7,13.1
31.8,7.1
31.8,10.3
32.0,17.8
32.5,-0.2
32.5,18.0
32.6,19.9
32.7,30.0
32.9,6.9
32.9,8.9
32.9,11.7
32.9,16.4
33.0,5.3
33.0,6.9
33.0,19.6
33.0,20.0
33.1,18.0
33.2,15.3
33.2,21.3
33.3,16.0
33.3,17.8
33.3,19.2
33.4,12.8
33.4,20.4
33.4,21.1
33.5,5.5
33.5,17.3
33.7,6.7
33.7,9.9
33.7,12.3
33.7,13.8
33.7,17.6
33.8,4.7
33.8,6.3
33.8,8.3
33.8,8.7
33.8,9.5
33.8,11.1
33.8,15.8
33.8,17.4
33.8,19.0
33.8,20.6
33.8,27.3
33.9,15.8
33.9,17.4
33.9,18.2
34.0,12.3
34.0,13.9
34.0,18.9
34.0,22.1
34.1,8.0
34.1,15.9
34.1,16.9
34.1,19.1
34.1,20.7
34.3,14.4
34.3,17.6
34.3,17.9
34.3,20.8
34.4,8.1
34.4,12.9
34.4,15.6
34.5,12.4
34.5,14.0
34.5,20.3
34.5,21.3
34.6,7.2
34.6,14.5
34.6,16.1
34.6,17.0
34.6,22.5
34.7,13.0
34.7,13.9
34.7,15.7
34.7,16.6
34.7,17.6
34.7,18.5
34.7,21.2
34.8,0.8
34.8,2.0
34.8,4.3
34.8,7.8
34.8,10.7
34.8,12.3
34.8,15.4
34.8,16.0
34.8,17.0
34.8,19.1
34.8,20.7
34.8,23.4
34.9,10.9
34.9,14.4
34.9,15.7
34.9,17.8
34.9,19.4
34.9,21.8
35.0,13.8
35.0,16.5
35.0,18.9
35.0,22.3
35.1,0.9
35.1,5.8
35.1,7.4
35.1,12.0
35.1,12.1
35.1,12.2
35.1,14.0
35.1,16.0
35.1,16.9
35.1,20.1
35.1,21.7
35.2,13.2
35.2,15.6
35.2,16.4
35.2,17.7
35.2,17.9
35.2,18.4
35.2,18.5
35.2,19.5
35.2,21.1
35.2,22.8
35.3,2.6
35.3,4.2
35.3,5.3
35.3,6.9
35.3,8.9
35.3,13.7
35.3,15.2
35.3,16.1
35.3,16.8
35.3,17.4
35.3,18.0
35.3,18.8
35.3,21.2
35.4,3.7
35.4,5.7
35.4,7.3
35.4,8.4
35.4,8.5
35.4,9.5
35.4,12.1
35.4,16.4
35.4,16.9
35.4,17.1
35.4,20.0
35.5,1.5
35.5,8.9
35.5,18.0
