Model,data_shuffled,subdata_extended,augmented_dataset,temporal,spatial,with_gate,tanhGate,batch_16,edge_weight,batch_norm,feature_loss,combined_loss,lambdaEdgeLoss0.5,edge_weight_preservation_loss,pairwise_similarity_loss,L1Loss,MSE_Latent_Loss,MSE_Latent_Loss_alpha_0.3,MSE_Latent_Loss_alpha_0.7,leakyReluActivactionFunction,20days,24days,150epochs,deeper_channels,multiScale,single_conv,double_conv,attentionSpatial,kernel_3_stride_1_padding_1,cheb_pol_5,timewindow_8,timewindow_16,timewindow_24
temporal_sandwich_model_with_gate_data_shuffled_edge_weight_batch_16_subdata_extended,X,X,,X,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,
double_spatial_temporal_sandwich_model_with_gate_data_shuffled_edge_weight_batch_16_subdata_extended,X,X,,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,
temporal_sandwich_model_with_gate_data_shuffled_edge_weight_batch_16_subdata_extended_kernel_3_stride_1_padding_1,X,X,,X,,X,,X,X,,,,,,,,,,,,,,,,,,,,X,,,,
temporal_sandwich_model_with_gate_data_shuffled_edge_weight_batch_16_subdata_extended_kernel_3_stride_1_padding_1 double_conv,X,X,,X,,X,,X,X,,,,,,,,,,,,,,,,,,X,,X,,,,
temporal_sandwich_model_with_gate_data_shuffled_edge_weight_batch_16_subdata_extended_batch_norm,X,X,,X,,X,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
temporal_sandwich_model_with_gate_data_shuffled_edge_weight_batch_16_subdata_extended_batch_norm_multiScale,X,X,,X,,X,,X,X,X,,,,,,,,,,,,,,,X,,,,,,,,
temporal_sandwich_model_with_gate_data_shuffled_edge_weight_batch_16_subdata_extended_batch_norm_deeper_channels,X,X,,X,,X,,X,X,X,,,,,,,,,,,,,,X,,,,,,,,,
temporal_sandwich_model_with_gate_data_shuffled_edge_weight_batch_16_subdata_extended_batch_norm_combined_loss,X,X,,X,,X,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,
temporal_sandwich_model_with_gate_data_shuffled_edge_weight_batch_16_subdata_extended_batch_norm_combined_loss_lambdaEdgeLoss0.5,X,X,,X,,X,,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,
temporal_sandwich_model_with_gate_data_shuffled_edge_weight_batch_16_subdata_extended_batch_norm_combined_loss_augmented_dataset,X,X,X,X,,X,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,
